row_index,p10,p50,p90,prob_band,hhid
3085,0.9770481985394295,0.9849554007817602,0.9902933495299373,Likely Flourishing,23151429
3086,0.730840243320913,0.8216676580234739,0.8889719247870963,Likely Flourishing,23266737
3087,8.39111884214395e-06,2.7239446519047e-05,9.54810649895618e-05,At-Risk,23290189
3088,0.9481908480375891,0.9686272081936713,0.9816758773982657,Likely Flourishing,23300175
3089,0.6405583268280824,0.7470035642433341,0.8228727920216754,Likely Flourishing,23069490
3090,0.6413173657232779,0.7594159127246343,0.8520687811515953,Likely Flourishing,23108035
3091,2.4516498070973587e-06,1.0435129664379478e-05,4.66286931511887e-05,At-Risk,23110794
3092,2.7679442182477396e-12,1.0531362461501311e-11,3.898493643653246e-11,At-Risk,23167063
3093,3.7378281549072766e-05,0.00012114497878456452,0.0003880096273191074,At-Risk,23243612
3094,7.261193704396364e-08,3.169603997693146e-07,1.3728896861422781e-06,At-Risk,23302933
3095,5.778580920466096e-05,0.00010781894650172936,0.0001996178884961846,At-Risk,23149170
3096,0.9695925351375883,0.9828604963177017,0.9897938937362135,Likely Flourishing,23091744
3097,0.9999231442534713,0.999948536918446,0.9999670805442528,Likely Flourishing,23219186
3098,6.217175460242716e-10,3.4879329769832554e-09,2.3751282440366982e-08,At-Risk,23077909
3099,0.9999824252877921,0.9999880835445578,0.9999919170052719,Likely Flourishing,23270054
3100,0.4191844273317628,0.6117037714393667,0.7769226055561794,Moderate,23193206
3101,0.9998391400937474,0.9998896661081385,0.9999273446889092,Likely Flourishing,23066538
3102,0.9338636587765066,0.9588666601461584,0.9744722526343187,Likely Flourishing,23297253
